Source,Target,Type,Id,Label,timeset,Weight,d11,d10,d9,d8,d7,d6,d5,d4,d3,d2,d1,d0
433045972,5899849294,Undirected,17,,,1,,,,,,,,268.693,secondary,خیابان انقلاب,True,133915998
2108744509,7298615894,Undirected,1436,,,1,,,,,,roundabout,,8.88,secondary,میدان انقلاب,True,133916014
2108744509,9249692936,Undirected,1437,,,1,,,,,"LINESTRING (55.9914143 30.4111024, 55.9914772 30.4111426, 55.9919787 30.4113835)",,,62.557,tertiary,بلوار شریعتی شزقی,True,887873070
854462255,2108744475,Undirected,18,,,1,,,,30,,,,9.499,residential,,False,200911154
854462255,5618222444,Undirected,19,,,1,,,,,,,,64.486,tertiary,خیابان بنفشه,False,200911202
854462255,2108744381,Undirected,20,,,1,,,,,"LINESTRING (55.9812157 30.4105172, 55.9799448 30.410099, 55.9797455 30.4100814)",,,149.658,tertiary,بلوار عدالت,True,133916002
854462255,1474545885,Undirected,21,,,1,,,,,,,,96.285,tertiary,بلوار عدالت,True,133916002
2108744475,2108744492,Undirected,1427,,,1,,,,,,,,112.396,tertiary,بلوار عدالت,True,133915968
2108744475,4451035226,Undirected,1428,,,1,,,,30,,,,89.998,residential,خیابان بنفشه,False,628933942
2108744475,5899936946,Undirected,1429,,,1,,,,,,,,116.471,tertiary,بلوار عدالت,True,133915968
5618222444,5618222445,Undirected,5747,,,1,,,,,,,,107.336,residential,بنفشه ۱۱,False,628939478
2108744381,2108744392,Undirected,1415,,,1,,,,,"LINESTRING (55.9797455 30.4100814, 55.9796974 30.4101048, 55.9796448 30.4101196, 55.97959 30.4101253, 55.9795348 30.4101217)",roundabout,,21.204,secondary,میدان امیرکبیر,True,133916010
1474545885,5618222445,Undirected,819,,,1,,,,30,,,,65.388,residential,باقری,False,628939477
854462256,4451035219,Undirected,22,,,1,,,,,,,,87.124,tertiary,خیابان خیام,False,200911177
854462256,2108744545,Undirected,23,,,1,,,,30,,,,65.149,tertiary,بلوار شهید میرزایی,True,200911288
854462256,1474545885,Undirected,24,,,1,,,,,"LINESTRING (55.9842649 30.4114786, 55.9841296 30.4114762, 55.9821547 30.4108238)",,,215.781,tertiary,بلوار عدالت,True,133916002
854462256,5938113111,Undirected,25,,,1,,,,30,"LINESTRING (55.9854851 30.4118931, 55.9849295 30.4117044, 55.9842649 30.4114786)",,,125.762,tertiary,عدالت,False,200911221
854462256,2108744492,Undirected,26,,,1,,,,,"LINESTRING (55.9823587 30.4108081, 55.9841743 30.4114139, 55.9842649 30.4114786)",,,197.966,tertiary,بلوار عدالت,True,133915968
854462256,5618222446,Undirected,27,,,1,,,,30,"LINESTRING (55.9837558 30.4119889, 55.9838093 30.4119222, 55.9840261 30.4116203, 55.9842649 30.4114786)",,,76.301,tertiary,بلوار شهید میرزایی,True,200911302
4451035219,9309905887,Undirected,2385,,,1,,,,,,,,145.596,tertiary,خیابان خیام,False,200911177
4451035219,4451035222,Undirected,2386,,,1,,,,30,"LINESTRING (55.9831808 30.4099285, 55.9837278 30.4103531, 55.9842737 30.4105773, 55.9847338 30.4108075)",,,179.56699999999998,residential,یازدهم,False,448048856
2108744545,5938113105,Undirected,1442,,,1,,,,,,,,66.669,residential,میرزایی ۱,False,628939490
2108744492,4451035225,Undirected,1432,,,1,,,,30,,,,72.48,residential,شهید باقری,False,134067884
854462257,4451035203,Undirected,28,,,1,,,,,,,,90.366,secondary,چمران,False,133916001
